,brawlername,event.mode,event.map,total_games,total_draws,total_wins,winrate
1536,EMZ,gemGrab,Crystal Arcade,47,0.0,39.0,0.8297872340425532
1537,EMZ,brawlBall,Super Beach,52,0.0,39.0,0.75
1538,EMZ,brawlBall,Sunny Soccer,171,3.0,131.0,0.7660818713450293
1539,EMZ,brawlBall,Sneaky Fields,254,2.0,189.0,0.7440944881889764
1540,EMZ,brawlBall,Pinhole Punt,166,4.0,127.0,0.7650602409638554
1541,EMZ,brawlBall,Center Stage,394,2.0,315.0,0.799492385786802
1542,EMZ,brawlBall,Beach Ball,117,0.0,106.0,0.905982905982906
1543,EMZ,brawlBall,Backyard Bowl,19,0.0,12.0,0.631578947368421
1544,EMZ,bounty,Temple Ruins,2,0.0,2.0,1.0
1545,EMZ,bounty,Shooting Star,1,0.0,1.0,1.0
1546,EMZ,bounty,Layer Cake,5,0.0,5.0,1.0
1547,EMZ,bounty,Hideout,5,0.0,5.0,1.0
1548,EMZ,bounty,Dry Season,2,0.0,2.0,1.0
1549,EL PRIMO,knockout,X Marks the Spot,5,0.0,5.0,1.0
1550,EL PRIMO,knockout,Out in the Open,1,0.0,1.0,1.0
1551,EL PRIMO,knockout,New Perspective,3,0.0,3.0,1.0
1552,EL PRIMO,knockout,Goldarm Gulch,3,0.0,2.0,0.6666666666666666
1553,EL PRIMO,knockout,Flaring Phoenix,5,0.0,3.0,0.6
1554,EL PRIMO,knockout,Belle`s Rock,1,0.0,1.0,1.0
1555,EL PRIMO,hotZone,Split,41,0.0,34.0,0.8292682926829268
1556,EL PRIMO,hotZone,Ring of Fire,7,0.0,5.0,0.7142857142857143
1557,EL PRIMO,hotZone,Quarter Pounder,13,0.0,11.0,0.8461538461538461
1558,EL PRIMO,hotZone,Parallel Plays,11,0.0,11.0,1.0
1559,EL PRIMO,hotZone,Open Zone,1,0.0,1.0,1.0
1560,EL PRIMO,hotZone,Dueling Beetles,14,0.0,14.0,1.0
1561,EL PRIMO,hotZone,Controller Chaos,31,0.0,25.0,0.8064516129032258
1562,EL PRIMO,heist,Tornado Ring,43,0.0,37.0,0.8604651162790697
1563,EL PRIMO,heist,Snaked Assault,74,0.0,63.0,0.8513513513513513
1564,EL PRIMO,heist,Safe Zone,9,0.0,8.0,0.8888888888888888
1565,EL PRIMO,heist,Pit Stop,379,1.0,304.0,0.8021108179419525
1566,EL PRIMO,heist,Kaboom Canyon,13,0.0,12.0,0.9230769230769231
1567,EL PRIMO,heist,Hot Potato,11,0.0,8.0,0.7272727272727273
1568,EL PRIMO,heist,Bridge Too Far,2,0.0,2.0,1.0
1569,EL PRIMO,gemGrab,Undermine,8,0.0,5.0,0.625
1570,EL PRIMO,gemGrab,Minecart Madness,19,0.0,16.0,0.8421052631578947
1571,EL PRIMO,gemGrab,Hard Rock Mine,21,0.0,17.0,0.8095238095238095
1572,EL PRIMO,gemGrab,Gem Fort,13,0.0,7.0,0.5384615384615384
1573,EL PRIMO,gemGrab,Double Swoosh,15,0.0,12.0,0.8
1574,EL PRIMO,gemGrab,Deep Diner,26,0.0,20.0,0.7692307692307693
1575,EL PRIMO,gemGrab,Crystal Arcade,11,0.0,7.0,0.6363636363636364
1576,EL PRIMO,brawlBall,Super Beach,87,1.0,64.0,0.735632183908046
1577,EL PRIMO,brawlBall,Sunny Soccer,202,3.0,153.0,0.7574257425742574
1578,EL PRIMO,brawlBall,Sneaky Fields,463,3.0,355.0,0.7667386609071274
1579,EL PRIMO,brawlBall,Pinhole Punt,142,2.0,109.0,0.7676056338028169
1580,EL PRIMO,brawlBall,Center Stage,365,3.0,261.0,0.7150684931506849
1581,EL PRIMO,brawlBall,Beach Ball,161,0.0,121.0,0.7515527950310559
1582,EL PRIMO,brawlBall,Backyard Bowl,62,1.0,49.0,0.7903225806451613
1583,EL PRIMO,bounty,Shooting Star,1,0.0,0.0,0.0
1584,EL PRIMO,bounty,Layer Cake,3,0.0,3.0,1.0
1585,EL PRIMO,bounty,Hideout,6,0.0,5.0,0.8333333333333334
1586,EL PRIMO,bounty,Dry Season,2,0.0,2.0,1.0
1587,EDGAR,knockout,X Marks the Spot,7,0.0,6.0,0.8571428571428571
1588,EDGAR,knockout,Riverside,7,0.0,7.0,1.0
1589,EDGAR,knockout,Out in the Open,8,0.0,6.0,0.75
1590,EDGAR,knockout,New Perspective,13,0.0,9.0,0.6923076923076923
1591,EDGAR,knockout,Goldarm Gulch,7,0.0,6.0,0.8571428571428571
1592,EDGAR,knockout,Flaring Phoenix,13,0.0,10.0,0.7692307692307693
1593,EDGAR,knockout,Belle`s Rock,23,0.0,13.0,0.5652173913043478
1594,EDGAR,hotZone,Split,39,0.0,29.0,0.7435897435897436
